station_id, obs_time, wx, rh, t, td, wdir, wspeed, pressure
SBBH,201706141600,Mostly Cloudy,61,24,12,340,2,912.6 
SBBH,201706141500,Mostly Cloudy,69,22,12,150,4,914.39 
SBBH,201706141300,Mostly Cloudy,88,19,14,None,0,915.29 
SBBH,201706141200,Mostly Cloudy,83,19,14,None,0,915.29 
SBBH,201706141100,Light Rain,83,19,14,None,0,915.29 
SBBH,201706141000,Mostly Cloudy,78,19,14,None,0,915.29 
SBBH,201706132000,Fair,69,23,11,None,0,912.6 
SBBH,201706131900,Partly Cloudy,57,25,11,80,7,912.6 
SBBH,201706131700,Partly Cloudy,54,26,12,None,0,912.6 
SBBH,201706131600,Partly Cloudy,61,24,12,340,2,912.6 
SBBH,201706131500,Fair,65,24,12,340,2,912.6 
SBBH,201706131400,Partly Cloudy,69,23,11,None,0,912.6 
SBBH,201706131200,Partly Cloudy,78,21,12,None,0,915.29 
SBBH,201706131100,Partly Cloudy,88,19,14,None,0,915.29 
SBBH,201706131000,Partly Cloudy,88,18,14,None,0,914.39 
SBBH,201706122000,Rain,73,22,12,150,4,914.39 
SBBH,201706121900,Partly Cloudy,69,23,11,None,0,912.6 
SBBH,201706121800,Partly Cloudy,57,26,12,None,0,912.6 
SBBH,201706121700,Partly Cloudy,61,26,12,None,0,912.6 
SBBH,201706121500,Partly Cloudy,65,24,12,340,2,912.6 
SBBH,201706121400,Fair,69,24,12,340,2,912.6 
SBBH,201706121300,Partly Cloudy,73,22,12,150,4,914.39 
SBBH,201706121100,Fair,83,20,12,None,0,915.29 
SBBH,201706121000,Fair,94,18,14,None,0,914.39 
SBBH,201706112000,Fair,69,23,11,None,0,912.6 
SBBH,201706111900,Partly Cloudy,61,25,11,80,7,912.6 
SBBH,201706111800,Partly Cloudy,54,26,12,None,0,912.6 
SBBH,201706111700,Partly Cloudy,51,26,12,None,0,912.6 
SBBH,201706111600,Fair,54,26,12,None,0,912.6 
SBBH,201706111500,Partly Cloudy,57,25,11,80,7,912.6 
SBBH,201706111300,Fair,65,23,11,None,0,912.6 
SBBH,201706111100,Fair,73,20,12,None,0,915.29 
SBBH,201706111000,Fair,77,18,14,None,0,914.39 
SBBH,201706102000,Fair,36,25,11,80,7,912.6 
SBBH,201706101800,Fair,30,27,11,110,9,913.5 
SBBH,201706101700,Fair,32,27,11,110,9,913.5 
